contact_id,contact_type,name,website,owner,county,city,state,zip,address,phone,circulation,publication_days
94,1,Arnold-Imperial Leader,http://www.myleaderpaper.com,Leader Publications,Jefferson County,Festus,MO,63028,"503 N. 2nd Street, P.O. Box 159",636-937-7501,21071,Thursday
190,1,Atchison County Mail | Rockport,http://www.FarmerPublishing.com,Independently Owned Newspaper,Atchison County,Rock Port,MO,64482,"300 South Main Street, P.O. Box 40",660-744-6245,1465,Thursday
161,1,"Aurora Advertiser, The",http://www.AuroraAdvertiser.net,Independently Owned Newspaper,Lawrence County,Neosho,MO,65605,"212 E. Main St, P.O. Box 509",417-451-1520,1200,Friday
49,1,Ava Douglas County Herald,http://www.DouglasCountyHerald.com,Better Newspapers Inc.,Douglas County,Ava,MO,65608,"302 East Washington, P.O. Box 577",417-683-4181,2100,Wednesday
67,1,Barry County Advertiser,http://www.4BCAOnline.com,"Branson Tri-Lakes Newspapers, Inc owned by Lancaster Management",Barry County,Cassville,MO,65625,"904 West Street, P.O. Box 488",417-847-4475,13455,Wednesday
50,1,Belton | North Cass Herald,http://www.northcassherald.com,Independently Owned Newspaper,Cass County,Belton,MO,64033,120 North Main,816-322-2375,1000,Wednesday
51,1,Bethany Republican-Clipper,http://www.BethanyClipper.com,Independently Owned Newspaper,Harrison County,Bethany,MO,64424,"202 North 16th Street, P.O. Box 351",660-425-6325,2050,Wednesday
52,1,Bolivar Herald-Free Press,http://www.BolivarMoNews.com,Carpenter Media Group,Polk County,Bolivar,MO,65613,"335 South Springfield Avenue, P.O. Box 330",417-326-7636,3701,Wed & Fri
48,1,Boone County Journal,http://www.BoCoJo.com,Missourian Publishing Association,Boone County,Ashland,MO,65010,"201 South Henry Clay Blvd., P.O. Box 197",573-657-2334,800,Wednesday
53,1,Boonville News,http://www.BoonvilleDailyNews.com,CherryRoad Media,Cooper County,Boonvile,MO,65233,"302 First Street, Suite B",660-774-4183,1000,Friday
113,1,Branson Tri-Lakes News,http://www.BransonTriLakesNews.com,"Branson Tri-Lakes Newspapers, Inc owned by Lancaster Management","Stone County, Taney County",Hollister,MO,65672,"200 Industrial Park Dr. , P.O. Box 1900",417-334-3161,7302,Wednesday & Saturday
441,2,Brian Rice,,Ownership information not listed,,Excelsior Springs,MO,64024,400 Birch St,,,
57,1,Buffalo Reflex,http://www.BuffaloReflex.com,Carpenter Media Group,Dallas County,Buffalo,MO,65622,"114 East Lincoln St., P.O. Box 770",417-345-2224,3163,Wednesday
105,1,Caldwell County News,http://www.MyCaldwellCounty.com,Independently Owned Newspaper,Caldwell County,Hamilton,MO,64644,"101 South Davis, P.O. Box 218",816-583-2116,1000,Tuesday
58,1,California Democrat,http://www.CaliforniaDemocrat.com,Independently Owned Newspaper,Moniteau County,California,MO,65018,", P.O. Box 126",573-796-2135,1500,Wednesday
212,1,"Call Publications | St. Louis (Green Park, Concord, Oakville, SunCrest and Mail Call)",http://www.CallNewspapers.com,Independently Owned Newspaper,St Louis County,St. Louis,MO,63123,9977 Lin-Ferry Drive,314-843-0102,55000,Thursday
60,1,Camdenton Reporter,http://www.TheCCReporter.com,Independently Owned Newspaper,Camden County,Camdenton,MO,65020,P.O. Box 1265,573-346-5222,620,Wednesday
61,1,Cameron Citizen-Observer,http://www.MyCameronNews.com,Independently Owned Newspaper,Clinton County,Cameron,MO,64429,"403 East Evergreen Hwy. BB, P.O. Box 498",816-632-6543,2100,Thursday
63,1,Cape Girardeau Southeast Missourian,http://www.SEMissourian.com,Rust Communications,Cape Girardeau County,Cape Girardeau,MO,63702,"301 Broadway, P.O. Box 699",573-335-6611,"Daily: 5,480 Saturday: 7,400","Sat, Tue, Thu"
65,1,Carrollton Democrat,http://www.MainStreetNewsGroup.com/thecarrolltondemocrat,CherryRoad Media,Carroll County,Carrollton,MO,64633,"102 East Benton Street, P.O. Box 69",660-542-0881,1302,Wednesday
68,1,Cassville Democrat,http://www.cassville-democrat.com,Independently Owned Newspaper,Barry County,Cassville,MO,65625,"P.O. Box 486, 600 Main St.",417-847-2610,1000,Wednesday
69,1,Centralia Fireside Guard,http://www.FiresideGuard.com,CherryRoad Media,Boone County,Centralia,MO,65240,"123 Noth Allen Street, P.O. Box 7",573-682-2133,1230,Wednesday
9,1,Chariton Marquee,https://www.facebook.com/TheCharitonMarquee,Independently Owned Newspaper,Chariton County,Salisbury,MO,65281-1002,110 E 2nd St. #A,(660) 833-5509,750,weekly on Thursday
82,1,Charleston Enterprise-Courier,http://www.EnterpriseCourier.com,Independently Owned Newspaper,Mississippi County,East Prairie,MO,63845,101 East Main Street,573-649-9500,732,Tuesday
72,1,Chillicothe Constitution-Tribune,http://www.ChillicotheNews.com,CherryRoad Media,Livingston County,Chillicothe,MO,64601,"818 Washington Street, P.O. Box 707",660-646-2411,1605,"Wed, Fri pm"
74,1,Columbia Daily Tribune,http://www.ColumbiaTribune.com,Gannett,Boone County,,,,,888-348-3315,2579,Daily
75,1,Columbia Missourian,http://www.ColumbiaMissourian.com,Missourian Publishing Association,Boone County,Columbia,MO,65205,"221 South 8th Street, P.O. Box 917",573-882-5714,4714,Tue-Wed-Thu-Fri-Sun am
76,1,Concordia Concordian,,Independently Owned Newspaper,Lafayette County,Concordia,MO,64020,"607 South Main Street Ste. B, P.O. Box 658",660-463-7522,980,Wednesday
141,1,"Courier-Tribune | Liberty, Kearney, Gladstone",http://MyCourierTribune.com,CherryRoad Media,Clay County,Liberty,MO,64068,138 N. Main St.,816-781-4941,2900,Thursday
77,1,Crane Chronicle/Stone County Republican,http://www.CC-SCRNews.com,"Branson Tri-Lakes Newspapers, Inc owned by Lancaster Management",Stone County,Crane,MO,65633,"114 Main Street, P.O. Box 401",417-723-5248,1100,Thursday
78,1,Cuba Free Press,http://www.ThreeRiversPublishing.com,"Warden Publishing Co., Inc.",Crawford County,Belle,MO,65013,"1110 Hwy. 28, Unit B",(573) 859-3323,2333,Thursday
131,1,Delta Dunklin Democrat,http://www.DDDNews.com,Rust Communications,Dunklin County,Kennett,MO,63857,"203 First Street, P.O. Box 669",573-888-4505,1000,"Tuesday, Thursday, Saturday"
79,1,Dexter Statesman,http://www.DailyStatesman.com,Ownership information not listed,Stoddard County,Dexter,MO,63841,"133 South Walnut Street, P.O. Box 579",573-624-4545,3000,Wednesday
80,1,Dixon Pilot,http://www.DixonPilot.com,Independently Owned Newspaper,Pulaski County,,,,,573-759-2127,1800,Wednesday
81,1,Doniphan Prospect-News,,Rust Communications,Ripley County,Doniphan,MO,63935,"110 Washington Street, P.O. Box 367",573-996-2103,2800,Wednesday
83,1,East Prairie Eagle,http://www.EnterpriseCourier.com,Independently Owned Newspaper,Mississippi County,East Prairie,MO,63845,101 East Main Street,573-649-9500,1247,Tuesday
84,1,Edina Sentinel,http://www.EdinaSentinel.com,Independently Owned Newspaper,Knox County,Edina,MO,63537,"207 North Main, P.O. Box 270",660-397-2226,1400,Wednesday
85,1,El Dorado Springs Star,,Independently Owned Newspaper,Cedar County,El Dorado Springs,MO,64744,"105 South Main Street, P.O. Box 269",417-876-2500,1000,Thursday
